通巻	区分	番号	氏名	題名	開始頁	終了頁	備考
66		7	原田 竜志	豊橋周辺自生地見学会紀行	22		
66	文献紹介	8			23		
66	質疑応答	9			25		
66	短信	10			30		
66	交換欄	11			32		
66	会からのお知らせ	12			35		
66	編集後記	13			41		
67		1	豊田 良男	食虫植物自生地の保護について	1		
67		2	池田 正幸・関口 敦	モウセンゴケ腺毛の動きについての実験	3		
67		3	片桐 義昭	僕のムジナモ栽培の記録	8		
67		4	大滝 末男	ムジナモのアクアリウム栽培法	11		
67		5	リチャード・シヴァートセン	ネペンテスの挿木法	12		
67		6	中川 治彦	尾瀬の食虫植物	14		
67		7	中川 治彦	食虫植物のフレーム栽培について	16		
67		8	渥美 比呂志	食虫植物の切手	18		
67	文献紹介	9			19		
67	短信	10			21		
67	交換欄	11			25		
67	会からのお知らせ	12			27		
67	編集後記	13			30		
68		1	英 清道	食虫植物の消化酵素(4)‐その他の植物‐	1		
68		2	G. Mikil	ネペンテスを求めて	6		
68		3	倉田 重夫	スマトラのネペンテス調査報告	11		
68		4	倉田 重夫	新記載のネペンテス2種	17		
68		5	英 清道	Utricularia inflata の開花	19		
68		6	日下部 勇	マリアン・ノースとネペンテス	19		
68		7	池田 正幸	ピグミーモウセンゴケのムカゴ繁殖について	21		
68		8	豊田 良男	新年懇談会報告記	23		
68	文献紹介	9			24		
68	短信	10			24		
68	交換欄	11			29		
68	会からのお知らせ	12			29		
68	編集後記	13			32		
69		1	倉田 重夫	再びボルネオのキナバル山及びスマトラのパングルバオ山を訪ねて	1		
69		2	玉井 八平	古曾部でのネペンテスの栽培管理	7		
69		3	J. A. Mazrimas	ムジナモの栽培法	13		
69		4	柴田 千晶	台湾・マニラ・香港への採集旅行	14		
69		5	小松 泰信	「生駒の食虫植物」移殖顚末記	15		目次では「移殖」、本文では「移植」と記載されている。顛は眞へん。
69		6	中川 治彦	Utricularia dichotoma	17		
69		7	峰村 忠良	食虫植物の観賞法一試案	18		
69		8	豊田 良男	食虫独語(1)	19		
69		9	豊田 良男	茂原方面自生地見学記	21		
69	短信	10			23		
69	交換欄	11			28		
69	会からのお知らせ	12			29		
69	編集後記	13			33		
70		1	恒川 敏雄	食虫植物はどこえゆく	1		
70		2	河瀬 晃四郎	ベンジルアデニンによるネペンテスの繁殖法について	1		
70		3	倉田 重夫	ネペンテスノート（Ⅳ）‐ N. denciflora Dans. について	6		
70		4	日下部 勇	新らしい Drosera に就いて	9		
70		5	豊田 良男	Drosera adelae F. Muell. の不定芽について	12		
70		6	馬場 郁夫	D. nitidula のこと	12		
70		7	中川 治彦	Drosera(Sect. Lamprolepis) の栽培法	14		
70		8	中川 治彦	アイスボックスを利用したダーリングトニアの栽培	15		
70		9	日下部 勇	冷房ケースに就いて	15		
70		10	馬場 郁夫	甲山湿原と水上池の近況	18		
70		11	関口 敦	大阿原湿原を尋ねて	19		
70		12	豊田 良男	庚申山見学紀行	20		
70		13	豊田 良男	食虫植物展示会報告記	22		
70		14	豊田 良男	豊橋市周辺自生地見学記	26		
70	短信	15			27		
70	交換欄	16			28		
70	会からのお知らせ	17			30		
70	編集後記	18			32		
71		1	根津 文雄	25周年記念号に寄せて	1		
71		2	大滝・志方・柴田（瑳）・小宮	食虫植物と研究会昔噺（対談）	2		
71		3	日下部 勇	25周年に想う	7		
71		4	小宮 定志	日本産タヌキモ科植物の解説	8		
71		5	恒川 敏雄・星野 清治	豊橋の食虫植物自生地	18		
71		6	本多 真	再びダーリングトニアを求めて‐その1	23		
71		7	R. C. Nash	南オーストラリア・ロフティ山脈のDrosera(1)	29		
71		8	豊田 良男	園芸フェア記録	33		
71	短信	9			34		
71	交換欄	10			42		
71	会からのお知らせ	11			43		
71	編集後記	12			45		
72		1	小宮 定志	ニューギニア・オーストラリアとその周辺の食虫植物	1		
72		2	本多 真	「再びダーリングトニアを求めて」その2	7		
72		3	R. C. Nash	南オーストラリア・ロフテイ山脈のドロセラ(2)	10		
72		4	日下部 勇	Roridula gorgonias Planchon	15		
72		5	片山 敏雄	私の食虫メモ	18		
72		6	峰村 忠良	新年懇談会に初参加して	20		
72		7	安藤 忠男	甲府懇談会報告記	21		
72		8	田中 桃三	Darlingtoniaの有料配布経過報告記	23		誤：Darlingtania→Darlingtonia
72	短信	9			23		
72	交換欄	10			26		
72	会からのお知らせ	11			27		
72	編集後記	12			28		
72	付録	13		石津汪著「食虫植物」（カラー頁、別刷）			注：頁数なし。
73		1	倉田 重夫	ネペンテス・ノート（Ⅴ）	1		
73		2	清水 清	北ボルネオとマレー半島のネペンテス	3		
73		3	本多 真	「再びダーリングトニアを求めて」その3	7		
73		4	田中 桃三	静岡地方自生地見学会	12		
73		5	豊田 良男	花の文化展記録	14		
73		6	本多 真（訳）	絶滅の危機にさらされているアメリカの生物	16		
73		7	小宮 定志	文献紹介	17		
73	短信	8			19		
73	交換欄	9			21		
73	会からのお知らせ	10			23		
73	編集後記	11			24		
74		1	片桐 義昭	新潟県の食虫植物(1)	1		
74		2	小宮 定志	再びキュー植物園を訪ねて	3		
74		3	日下部 勇	北米南部産虫取菫に就いて	10		
74		4	柴田 千晶	福島県の自生地見学記	14		
74		5	柴田 千晶	新潟県の自生地見学記	16		
74		6	小松 泰信	庚申山見学記	18		
74		7	豊田 良男	食虫植物展示会報告記	20		
74	文献紹介	8			23		
74	短信	9			24		
74	交換欄	10			30		
74	会からのお知らせ	11			32		
74	編集後記	12			33		
75		1	片桐 義昭	新潟県の食虫植物(2)	1		
75		2	英 清道	スイスの山にムシトリスミレを訪ねて	21		
75		3	柴田 千晶	大阪、兵庫、岡山の自生地見学記	28		
75		4	路川 宗夫	茨城県の食虫植物	31		
75		5	鬼頭 三郎	ディオネアの腐木土栽培	34		
75	短信	6			34		
75	交換欄	7			38		
75	編集後記	8			40		
76		1	洛星中・高等学校生物部	京都市近郊の自生地の近況報告	1		
76		2	洛星中・高等学校生物部	アフリカナガバモウセンゴケの食虫作用	8		
76		3	橋本 正光	N. X hybrida のコンポスト別挿木栽培	10		
76		4	日下部 勇	Darlingtonia と Chrysamphora	13		
76		5	村田 弘之	屋久島産コモウセンゴケ追記	14		
76	短信	6			15		
76	交換欄	7			18		
76	会からのお知らせ	8			19		
76	編集後記	9			22		
77		1	倉田 重夫	ネペンテス・ノート（Ⅵ）	1		
77		2	小宮 定志	最近の地方植物誌に見る食虫植物の分布	3		
77		3	日下部 勇	ハワイのナガバノモウセンゴケ	9		
77		4	小宮 定志	温室の改装と食虫植物の現況報告	11		
77		5	田中 桃三	茂原今昔記	14		
77		6	中川 治彦	苗の交換について思う事	15		
77	短信	7			17		
77	交換欄	8			21		
77	会からのお知らせ	9			23		
77	編集後記	10			26		
78		1	本多 真	花咲くコブラ・リリー（その1）	1		
78		2	西村 明浩	勾玉池の Utricularia	7		
78		3	中川 治彦	庚申山見学会	8		
78		4	中川 治彦	伊勢丹展示会の報告	10		
78		5	田中 桃三	新潟市周辺の自生地見学会報告	11		
78		6	日下部 勇	西濠の食虫植物	13		記載のまま：西濠→西豪
78		7	日下部 勇	学名の読み方	18		
78		8	野元 武夫	ムシトリスミレ類の栽培	20		
78	短信	9			22		
78	交換欄	10			28		
78	会からのお知らせ	11			29		
78	編集後記	12			30		
79		1	本多 真	花咲くコブラ・リリー（その2）	1		
79		2	英 清道	スイスの山にムシトリスミレを訪ねて(2)	6		
79		3	日下部 勇	西濠産食虫植物に就いて	13		記載のまま：西濠→西豪
79		4	路川 宗夫	筑波山、酒寄林道の食虫植物自生について	20		
79		5	田中 桃三	豊橋市周辺見学記	20		
79		6	都立南高校生物部	文化祭で“食虫植物”が大好評	21		
79		7	中川 治彦	雑誌に載った Heliamphora	22		
79		8	柴田 千晶	日本の食虫植物分布図	23		
79	短信	9			27		
79	交換欄	10			27		
79	会からのお知らせ	11			28		
79	編集後記	12			30		
80		1	片桐 義昭	新潟県の食虫植物（追補）	1		
80		2	片山 敏雄	浜名湖付近の現状（1976年）	8		
80		3	日下部 勇	西濠の食虫植物	9		記載のまま：西濠→西豪
80		4	倉田 重夫	「Nepenthes of Mount Kinabalu」のこと	10		
80		5	倉田 智子	食虫植物おとぎばなし	11		
80		6	倉田 重夫	〔文献紹介〕マダガスカル産ネペンテスの新種	13		
80	書評と文献紹介	7	小宮、日下部		17		書評と文献紹介（小宮、日下部）
80	短信	8			20		
80	交換欄	9			23		
80	会からのお知らせ	10			24		
80	編集後記	11			27		
81		1	小宮 定志	羽生市ムジナモ保護増殖事業の発足とその内容	1		
81		2	渥美 比呂志	Drosophyllum lusitanicum の自生地を訪れて	3		
81		3	倉田 重夫	ネペンテス・ノート（Ⅶ） N. ephippiata Dans. について	9		
81		4	田中 桃三	第14回「花の文化展」参加報告	12		
81	短信	5			14		
81	交換欄	6			17		
81	会からのお知らせ	7			17		
81	編集後記	8			21		
82		1	本多 真	アメリカ食虫植物の旅(1)	1		
82		2	中川 治彦	ルールとマナー ‐研究会の発展を願って‐	8		
82		3	橋本 正光	ミミカキグサ類の栽培	11		
82		4	松木 裕幸	ダーリングトニアのテラリウム栽培	13		
82		5	路川 宗夫	庚申山紀行	16		
82		6	富沢 正美	筑波方面の自生地見学会報告	19		
82		7	田中 桃三	展示会報告	22		
82	短信	8			25		
82	交換欄	9			34		
82	会からのお知らせ	10			36		
82	編集後記	11			37		
83		1	本多 真	アメリカ食虫植物の旅(2)	1		
83		2	上窪田 康義	愛媛県の食虫植物の分布（予報）	7		
83		3	小松 泰信	大阪周辺の自生地の近況と自然保護について	9		
83		4	小倉 厳雄	ディオネアの生態記録	11		
83		5	日下部 勇	Byblis gigantea の栽培法	15		
83		6	橋本 正光	食虫植物の誤名普及に就いて	16		
83	文献紹介	7		P. S. Lavarack：クイーンズランドの Nepenthes mirabilis その他の食虫植物	18		記載では「クィーンスランド」。「クイーンズランド」に訂正した。
83	短信	8			20		
83	交換欄	9			28		
83	会からのお知らせ	10			30		
83	編集後記	11			31		
84		1	本多 真	アメリカ食虫植物の旅(3)	1		
84		2	洛星中・高等学校生物部	京都近郊の自生地の近況報告(2)	8		
84		3	日下部 勇	Nepenthes の一芽挿繁殖法	23		
84		4	小宮 定志	最近のフローラ関係の文献	24		
84	書評	5	倉田 重夫		31		書評（倉田重夫）
84	短信	6			31		
84	交換欄	7			35		
84	会からのお知らせ	8			36		
84	編集後記	9			38		
85		1	小宮 定志	コモウセンゴケ2亜種の区分について	1		
85		2	杉浦 弘真	菊川方面自生地見学会の報告	6		
85		3	豊田 良男	“第15回花の文化展”を観て	8		
85		4	豊田 良男	定例総会報告記	10		
85		5	橋本 正光	Polypompholyx tenella の開花	11		
85	文献紹介	6	小宮 定志		13		〔小宮定志〕
85	短信	7			16		
85	交換欄	8			21		
85	会からのお知らせ	9			23		
85	編集後記	10			28		
86		1	本多 真	北カリフォルニアのダーリングトニア	1		
86		2	富沢 正美	Drosera sp.(North Bannister)の開花	2		
86		3	豊田 かおり・豊田 良男	ディオネアの変異と色素について	3		
86		4	豊田 良男	食虫独語(2)	5		
86		5	小宮 定志	ムジナモ増殖計画の進行状況と今後の計画について	6		
86		6	小野 煕視	コウシンソウ見学の記	8		
86		7	豊田 良男	食虫植物展示会報告記	11		
86	短信	8			13		
86	交換欄	9			18		
86	会からのお知らせ	10			20		
86	編集後記	11			22		
87		1	小宮 定志・柴田 千晶	日本産モウセンゴケ科植物の解説	1		
87		2	路川 宗夫	庚申山の植物	16		
87		3	本多 真	食虫植物の花園（その1）	22		
87		4	鈴木 稔	ウツボカズラ属の交配系統の図	28		
87		5	松木 裕幸	乾地性食虫植物のコンポストについて	30		
87		6	橋本 正光	白河方面自生地見学会の報告	32		
87		7	杉浦 弘真	秋の懇話会を終えて	34		
87	短信	8			36		
87	交換欄	9			38		
87	会からのお知らせ	10			39		
87	編集後記	11			40		
88		1	本多 真	食虫植物の花園（その2）	1		
88		2	日下部 勇	ヒヨウタンウツボカズラに就いて	7		記載のまま：ヒヨウタンウツボカズラ→ヒョウタンウツボカズラ
88		3	日下部 勇	〔文献紹介〕Heliamphora の2新種	10		
88		4	杉浦 弘真	初めてコウシンソウ見学会に参加する人のために	14		
88		5	杉浦 弘真	新年会の報告	15		
88	短信	6			16		
88	交換欄	7			18		
88	会からのお知らせ	8			20		
88	編集後記	9			22		
89		1	本多 真	食虫植物の花園（その3）	1		
89		2	多田 雅宏	Nepenthes の栽培について	6		
89		3	片桐 義昭	早出峡のムシトリスミレ近況	8		
89		4	田中 裕生	千葉県九十九里地方の近況	10		
89		5	豊田 良男	千葉県一ノ宮町周辺自生地見学記	11		
89	短信	6			14		
89	交換欄	7			18		
89	会からのお知らせ	8			21		
89	編集後記	9			25		
90		1	本多 真	Sarracenia oreophila の自生地	1		
90		2	本多 真	早春の野に咲くムシトリスミレの花(1)	7		
90		3	日下部 勇	ネペンテスは虫媒花か風媒花か？ 又その雌雄性について	12		
90		4	杉浦 弘真	伊勢丹展示会の報告	15		
90	文献紹介	5		「北部クイーンズランド（オーストラリア）の熱帯雨林産ドロセラ」 野原 明 訳	17		記載では「クィーンスランド」。「クイーンズランド」に訂正した。
90	交換欄	6			20		
90	短信	7			23		
90	会からのお知らせ	8			29		
90	編集後記	9			32		
91		1	路川 宗夫	早出峡の植物－ムシトリスミレ自生地をたずねて	1		
91		2	本多 真	米国南東部産ムシトリスミレ(1)	5		
91		3	小宮 定志	日本産タヌキモ科植物の学名について	10		
91		4	日下部 勇	Drosera sp.(Bannister white)に就いて	17		
91		5	日下部 勇	Nepenthes x dicksoniana Lindsay (N. rafflesiana x veitchii)	19		
91		6	小宮 定志	（抄録）食肉木？ Dioncophyllum peltatum	21		
91		7	佐藤 安司	栽培雑記	24		
91		8	長谷部 光泰	文化祭での食虫植物展示報告	26		
91	短信	9			27		
91	交換欄	10			29		
91	会からのお知らせ	11			31		
91	編集後記	12			34		
92		1	薄葉 満	福島県浜通り地方の食虫植物	1		
92		2	本多 真	米国南東部産ムシトリスミレ(2)	11		
92		3	河瀬 晃四郎	ウツボカズラの交雑について	14		
92		4	日下部 勇	Nepenthes x dominii の片親に就いて	18		
92		5	日下部 勇	Pygmy Sundews の分類	22		
92		6	佐藤 安司	栽培雑記(2)	24		
92		7	逸木 通隆	〔文献紹介〕セファロータスの試験管培養	26		
92		8	豊田 他	座談会－30周年に想う	28		
92		9	柴田 千晶	創立30周年を祝う新年会	31		
92	短信	10			33		
92	交換欄	11			35		
92	会からのお知らせ	12			37		
92	編集後記	13			38		
93		1	日下部 勇	ポリペルテス節ドロセラに就いて（茎葉に拠る検索表試案）	1		
93		2	富沢 正美	食虫植物の観賞栽培	5		
93		3	佐藤 安司	栽培雑記(3)	8		
93		4	深津 康博	〔文献紹介〕西オーストラリア産塊茎ドロセラの生態学	9		
93		5	小宮 定志	〔書評〕Adrian Slack:Carnivorous Plants	11		
93	短信	6			12		
93	交換欄	7			18		
93	会からのお知らせ	8			20		
93	会員名簿の追加と変更	9			25		
93	編集後記	10			30		
94		1	小宮 定志	根津文雄先生のご逝去を悼む	1		
94		2	佐藤 安司	近藤さんのご逝去を悼む	3		
94		3	片桐 義昭	新潟県の食虫植物（追補その2）	4		
94		4	片桐 義昭	モウセンゴケ属葉身屈曲の観察	7		
94		5	小松 泰信	トリバガのこと	9		
94		6	河瀬 晃四郎	ネペンテスの節間長に対するジベレリン散布処理の効果について	12		
94		7	日下部 勇	Nepenthesの雄蕊の葯数に就いて	14		
94		8	日下部 勇	ネペンテスの水挿し法	15		
94		9	日下部 勇	ネペンテス随想	17		
94		10	橋本 正光	普及種の消滅について	20		
94		11	柴田 千晶	伊勢丹展示会の報告	21		
94		12	企画委員	羽生市ムジナモ自生地見学会の報告	23		
94	短信	13			24		
94	交換欄	14			30		
94	会からのお知らせ	15			34		
94	編集後記	16			36		
95		1	日下部 勇	Nepenthes macfarlanei x sanguinea に就いて	1		
95		2	日下部 勇	Nepenthes kampotiana H. Lec. に就いて	3		
95		3	越川 幸雄	マレーシア・ゲンチンハイランドとペナン島のネペンテス	5		
95		4	小松 泰信	ボルネオにNepenthesを訪ねて	8		
95		5	清水 清	観光化の進むキナバル山	12		
95		6	片桐 義昭	モウセンゴケ属葉身屈曲の観察(2)	14		
95		7	片桐 義昭	食虫植物の栽培3題	15		
95		8	富沢 正美	ドロセラ雑記	17		
95		9	橋本 正光	サラセニア新交配・他	20		
95		10	佐藤 安司	筑波方面自生地見学会報告	22		
95		11	企画委員	秋の懇談会アンケート結果報告	24		
95		12	佐藤 安司	〔文献紹介〕Utricularia novae-zealandiae	26		
95	短信	13			28		
95	交換欄	14			33		
95	会からのお知らせ	15			35		
95	編集後記	16			36		
96		1	薄葉 満	福島県中通り地方の食虫植物	1		
96		2	片桐 義昭	モウセンゴケ属葉身屈曲の観察(3)	8		
96		3	越川 幸雄	ルソン島北部のネ・アラータ	12		
96		4	小松 泰信	Nepenthesの花粉輸送	14		
96		5	満田 秀一	生き残っていた金生水のヒメミミカキグサ	16		
96		6	日下部 勇	八丈島の食虫植物事情	17		
96		7	日下部 勇	Cephalotusの異形葉	18		
96		8	佐藤 安司	邦文古書に見る食虫植物	20		
96		9	佐藤 安司	（文献紹介）ガーデナース・クロニクル誌に載っているネペンテス(1)	21		
96		10	企画委員	新年会の報告	26		
96	短信	11			27		
96	交換欄	12			31		
96	会からのお知らせ	13			34		
96	編集後記	14					頁数なし。
97		1	中川 泰秀	シンガポール・マレーシアの旅(1)	1		
97		2	路川 宗夫	筑波大学標本庫所蔵食虫植物標本目録	6		
97		3	佐藤 安司	ネペンテス雑考	10		
97		4	片山 敏雄	ナガバノイシモチソウ雑録	13		
97		5	田辺 直樹	千葉県成東町の食虫植物について	15		
97		6	橋本 正光	ミミカキグサ類の栽培	17		
97		7	山口 省吾	定例総会の報告	19		
97		8	田中 桃三	文化展報告	20		
97		9	山田 一夫	菊川自生地見学会報告	21		
97	短信	10			22		
97	交換欄	11			32		
97	会からのお知らせ	12			34		
97	編集後記	13			38		
97	会員名簿の追加	14			39		
98		1	小坂田 泰直	ゲンリセアの自生地	1		
98		2	中川 泰秀	シンガポール・マレーシアの旅(2)	4		
98		3	田辺 直樹	食虫植物の宝庫・尾瀬	9		
98		4	田辺 直樹	八丈島の食虫植物Part2	12		
98		5	田中 桃三	早出峡のムシトリスミレ	14		
98		6	満田 秀一	サラセニアの蜜腺に麻酔作用が？	14		
98		7	日下部 勇	新渡来の食虫植物	15		
98		8	片山 敏雄	食虫雑記録	17		
98		9	富沢 正美	続・食虫植物の観賞栽培法	19		
98		10	佐藤 安司	サラセニア小史	22		
98		11	佐藤 安司	（文献紹介）ガーデナー・クロニクル誌に載っているネペンテス(2)	25		
98		12	橋本 正光	初心者講習会の報告	29		
98		13	山田 一夫	伊勢丹展示会の報告	30		
98		14	田中 桃三	名古屋食虫植物懇話会に出席して	31		
98	短信	15			32		
98	交換欄	16			40		
98	会からのお知らせ	17			43		
98	編集後記	18			46		
99		1	中川 泰秀	シンガポール・マレーシアの旅(3)	1		
99		2	山本 圭介	トランカータは遠く－ミンダナオ島・ネペンテスツアーに参加して－	5		
99		3	片桐 義昭	モウセンゴケ属葉身屈曲の観察(4)	9		
99		4	片山 敏雄	食虫レポート	13		
99		5	佐藤 安司	ドロセラ雑考	14		
99		6	越川 幸雄	Genting Highland に N. albomarginata があるか？	19		
99		7	内沢 真	臨時総会の報告	20		
99		8	中尾 尚	第2回初心者講習会報告	21		
99	文献紹介	9	豊田・小宮		22		文献紹介（豊田・小宮）
99	短信	10			23		
99	交換欄	11			27		
99	会からのお知らせ	12			29		
99	編集後記	13			32		
100		1	清水 清	100号の快挙によせて	1		
100		2	鈴木 吉五郎	サラセニアと広瀬巨海氏の思い出	2		
100		3	日下部 勇	Drosera属の展望	5		
100		4	渥美 比呂志	Drosera最新情報－南アフリカ産Drosera	9		
100		5	小宮 定志	オーストラリア南西端－食虫植物の故郷を訪ねて	14		
100		6	天野 富雄	ハエトリグサの無菌播種	19		
100		7	豊田 良男	ネペンテス紀行	22		
100		8	中川 泰秀	Gunong Spaliへの旅 （付）Nepenthes hirsuta Hook. f.	29		
100		9	倉田 重夫	N. clipeata Dans. と新報告の自然雑種2種〔ネペンテス・ノートⅧ〕	34		
100		10	越川 幸雄	Nepenthes原産地へ入る場合の注意とその後の管理法	38		
100		11	富沢 正美	ムシトリスミレ属の話	41		
100		12	片桐 義昭	ピンギクラ属栽培記	45		
100		13	大橋 務	知多半島の自生地について	49		
100	交換欄	14			50		
100	会からのお知らせ	15			53		
100	編集後記	16			55		
101		1	小坂田 泰直	その後のゲンリセアの自生地	1		訂正：ゲンセリア->ゲンリセア
101		2	山本 卓哉	マレー半島とボルネオのネペンテスを訪ねて	2		
101		3	小松 泰信	「自然交配種」によせる中間的考察	7		
101		4	片桐 義昭	モウセンゴケ属葉身屈曲の観察(5)	11		
101		5	片山 敏雄	外国産種の移植テスト	13		
101		6	橋本 正光	ミミカキグサ類の栽培	13		
101		7	鈴木 稔	湿地性Pygmy Droseraの栽培記録	16		
101		8	山田 一夫	塊茎種ドロセラの増殖と栽培	18		
101		9	日下部 勇	James Taplin と Nepenthes	19		
101		10	高橋 茂人	新年会の報告	23		
101		11	白石 修生	八丈島見学会の報告	24		
101		12	島畑 智志	第3回初心者講習会の報告	26		
101	短信	13			26		
101	交換欄	14			34		
101	会からのお知らせ	15			36		
101	会員名簿の追加と変更	16			39		
101	編集後記	17			44		
102		1	小宮 定志	Nepenthes ventricosa Blanco 再考	1		
102		2	日下部 勇	日本園芸（株）のネペンテス	2		
102		3	柴田 千晶	関西の植物園に食虫植物を視る	6		
102		4	中尾 尚	食虫植物を探訪して	9		
102		5	片山 敏雄	食虫レポート Part II	11		
102		6	越川 幸雄	Nepenthesの空気挿しとハンモック植え	13		
102		7	片桐 義昭	ドロソフィルム栽培記(1)	14		
102		8	佐藤 安司	ピングィクラ属拾遺	16		記載通り：ピングィクラ
102		9	佐藤 安司	サラセニア雑考	19		
102		10	小宮 定志	文献紹介	22		
102	短信	11			27		
102	交換欄	12			33		
102	会からのお知らせ	13			36		
102	編集後記	14			38		
103		1	越川 幸雄	西スマトラのNepenthes	1		
103		2	日下部 勇	フランス輸入のネペンテス－新交配種2種について	3		
103		3	中川 泰秀	Nepenthesの交配	5		
103		4	岡村 正治	岡山でのNepenthes栽培近況	6		
103		5	片桐 義昭	ドロソフィルム栽培記(2)	9		
103		6	深津 康博	ビブリス・ギガンテアの栽培	11		
103		7	片桐 義昭	モウセンゴケ属葉身屈曲の観察(6)	14		
103		8	樋口 隆司	プロティン粉末使用の実験報告	15		
103		9	国松 裕芳	ド・アデラーエの腺毛行動とプロティンの与え方	16		
103		10	佐藤 安司	（文献紹介）ガーデナース・クロニクル誌に載っているネペンテス(3)	17		
103		11	倉田 重夫	討論会「食虫植物の交配種の命名基準と登録方法」報告	21		
103	短信	12			22		
103	交換欄	13			31		
103	会からのお知らせ	14			33		
103	編集後記	15			36		
104		1	薄葉 満	福島県会津地方の食虫植物	37		
104		2	片桐 義昭	モウセンゴケ属葉身屈曲の観察(7)	46		
104		3	深津 康博	ビブリス・ギガンテア種子発芽	48		
104		4	片山 敏雄	食虫レポート Part 3	49		
104		5	小松 泰信	Nepenthes clipeata の雌花について	51		
104		6	日下部 勇	Nepenthes x coccinea Masters	52		
104		7	日下部 勇	ネペンテス交配種の両親名等の訂正	54		
104		8	菊池 義郎	Sarraceniaの地植えとNepenthes交配種の報告	57		
104		9	片桐 義昭	ドロソフィルム栽培記(3)	58		
104		10	佐藤 安司	欧州に於けるUtricularia栽培の古記録	59		
104		11	小宮 定志	〔文献紹介〕Barron 著 The nematode - destroying fungi	62		
104	短信	12			66		
104	交換欄	13			71		
104	会からのお知らせ	14			74		
104	編集後記	15			76		
105		1	岩崎 ヨシアキ	ディアマンチナ附近の食虫植物採集記	77		
105		2	本多 真	ダーリングトニアの根元に咲くムシトリスミレ	80		
105		3	山本 圭介	キナバル山よ永遠に	85		
105		4	渥美 比呂志	新しい食虫植物情報2題	90		
105		5	片桐 義昭	新潟市近郊に自生していたムジナモ	91		
105		6	片桐 義昭	モウセンゴケ属葉身屈曲の観察(8)	92		
105		7	池田 鉚治	ネペンテス接木について	95		
105		8	福田 善作	第2回八丈島見学会の報告	97		
105		9	小宮 定志	〔文献紹介〕(1) Cobras of the Pacific North West (2) Flora of Australia vol.8(Nepenthaceae, Droseraceae)	98		
105	短信	10			101		
105	交換欄	11			107		
105	会からのお知らせ	12			109		
105	編集後記	13			110		
105	会員名簿	14					頁数なし。
106		1	小宮 定志	新・食虫植物の進化論	111		
106		2	片桐 義昭	ムジナモの個体数増加率	114		
106		3	片桐 義昭	モウセンゴケ属葉身屈曲の観察(9)	117		
106		4	岩崎 ヨシアキ	Genlisea violacea	117		
106		5	日下部 勇	Nepenthes fusca に就いて	119		
106		6	日下部 勇	Nepenthes x Neufvilliana Bonst.	120		
106		7	伴 充晃	Utricularia 3題	120		
106		8	富沢 正美	食虫植物の観賞栽培 ぱあと3	122		
106		9	佐藤 安司	ドロセラ雑考(2)	124		
106		10	富沢 正美	伊勢丹展示会の報告と反省	127		
106	短信	11			130		
106	交換欄	12			134		
106	会からのお知らせ	13			135		
106	編集後記	14			137		
107		1	小宮 定志	新・食虫植物の進化論(2)	1		
107		2	麻生 雅久・智恵子	西オーストラリア珍道中	8		
107		3	片山 敏雄	食虫観察記	9		
107		4	小堀 弘	ムジナモに及ぼす水位の影響について	11		
107		5	深津 康博	ビブリス・ギガンテアのその後	12		
107		6	日下部 勇	ミズリー植物園のネペンテス	13		
107		7	豊田 良男 他	柴田瑳武郎・志方欽二両氏を囲む会報告記	16		
107		8	企画委員	卓上展示と栽培懇談会の報告	18		
107	短信	9			20		
107	交換欄	10			25		
107	会からのお知らせ	11			26		
107	編集後記	12			28		
108		1	河瀬 晃四郎	ウツボカズラの交雑について(2)	30		
108		2	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性	36		
108		3	Marabini,J.	Nepenthesの新交配種－N. x trasmadiensis	40		
108		4	倉田 重夫	セレベス産ネペンテスの3新種	41		
108		5	外山 雅寛	北海道にミミカキグサ類2種が現存	45		
108		6	満田 秀一	三重県の食虫植物自生地報告(1)	47		
108		7	富沢 正美	食虫植物の観賞栽培 ぱあと4－食虫植物の造型 その2	48		
108		8	佐藤 安司	栽培雑記(4)	51		
108		9	高井 功	卓上展示と栽培懇話会の記録	54		
108		10	麻生 智恵子	新年会御報告	55		
108		11	柴田 千晶	日本歯科大学生物学教室標本庫の整備完了について	55		
108	短信	12			56		
108	交換欄	13			59		
108	会からのお知らせ	14			61		
108	編集後記	15			63		
109		1	倉田 重夫	“Nepenthes of Mount Kinabalu” その後	64		
109		2	倉田 重夫	キナバル産ネペンテスの新雑種	65		
109		3	倉田 重夫	「セレベス産ネペンテスの3新種」の結辞	67		
109		4	河瀬 晃四郎	ネペンテスとさし木繁殖	67		
109		5	志方 欽二	コウシンソウの開花調節に成功	71		
109		6	松木 裕幸	ヘリアンフォラに就いて	72		
109		7	松木 裕幸	北米産Droseraの栽培	74		
109		8	池田 鉚治	ネペンテスのバイラスについて思うこと	75		
109		9	小宮 定志	最近の地方植物誌に見る食虫植物の分布(2)	77		
109	短信	10			82		
109	交換欄	11			87		
109	会からのお知らせ	12			88		
109	編集後記	13			93		
110		1	河瀬 晃四郎	ネペンテスのさし木方法の工夫	94		
110		2	岡村 正治	ルソン島北部のネ・ベントリコーサについて	97		
110		3	外山 雅寛	静狩湿原にムラサキミミカキグサを確認	101		
110		4	外山 雅寛	知床半島よりタヌキモの新分布記録	103		
110		5	大橋 務	壱町田湿地の食虫植物	108		
110		6	片桐 義昭	ムジナモの花芽形成要因	110		
110		7	松木 裕幸	外国産食虫植物の自然化栽培の状況	112		
